"id","school_id","grade","year","category","tested","mean_score","l1","p1","l2","p2","l3","p3","l4","p4"
4908,"09X457",4.00,2015.00,"Black",26.00,284.46,11.00,42.30,10.00,38.46,4.00,15.38,1.00,3.84
4909,"09X457",3.00,2015.00,"Hispanic",55.00,287.12,24.00,43.63,17.00,30.90,10.00,18.18,4.00,7.27
4910,"09X457",4.00,2015.00,"Hispanic",62.00,286.11,20.00,32.25,32.00,51.61,8.00,12.90,2.00,3.22
4911,"09X457",4.00,2015.00,"White",4.00,,,,,,,,,
4912,"09X555",3.00,2015.00,"All Students",57.00,310.29,10.00,17.54,19.00,33.33,21.00,36.84,7.00,12.28
4913,"09X555",3.00,2015.00,"Black",14.00,297.00,6.00,42.85,3.00,21.42,4.00,28.57,1.00,7.14
4914,"09X555",3.00,2015.00,"Hispanic",42.00,314.11,4.00,9.52,16.00,38.09,16.00,38.09,6.00,14.28
4915,"09X555",3.00,2015.00,"White",1.00,,,,,,,,,
4916,"10X003",3.00,2013.00,"All Students",26.00,296.26,9.00,34.61,10.00,38.46,6.00,23.07,1.00,3.84
4917,"10X003",4.00,2013.00,"All Students",18.00,297.50,5.00,27.77,7.00,38.88,6.00,33.33,0.00,0.00
4918,"10X003",3.00,2013.00,"Asian",1.00,,,,,,,,,
4919,"10X003",3.00,2013.00,"Black",6.00,302.33,3.00,50.00,2.00,33.33,0.00,0.00,1.00,16.66
4920,"10X003",4.00,2013.00,"Black",4.00,,,,,,,,,
4921,"10X003",3.00,2013.00,"Hispanic",18.00,292.66,6.00,33.33,7.00,38.88,5.00,27.77,0.00,0.00
4922,"10X003",4.00,2013.00,"Hispanic",14.00,303.28,3.00,21.42,5.00,35.71,6.00,42.85,0.00,0.00
4923,"10X003",3.00,2013.00,"White",1.00,,,,,,,,,
4924,"10X003",3.00,2014.00,"All Students",19.00,299.78,4.00,21.05,8.00,42.10,7.00,36.84,0.00,0.00
4925,"10X003",4.00,2014.00,"All Students",23.00,301.73,5.00,21.73,11.00,47.82,4.00,17.39,3.00,13.04
4926,"10X003",4.00,2014.00,"Asian",1.00,,,,,,,,,
4927,"10X003",3.00,2014.00,"Black",5.00,,,,,,,,,
4928,"10X003",4.00,2014.00,"Black",5.00,,,,,,,,,
